doi,title,date,tier,program,grant,acronym,call,disc,stage,stage_frac,proj_start,proj_end,proj_status,madmp,schema_ok,n_datasets,n_dist,personal,sensitive,ethics,challenging,access,url,dl
10.5281/zenodo.18414889,"The old have the wisdom to guide, the young the power to dream: sounding charismatic depends on which generation is listening",2026/2027,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/18414889,
10.5281/zenodo.22052468,RPP project,2026-08-22,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/22052468,
10.5281/zenodo.22047535,TEST-VB-AI,2026-08-21,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/22047535,
10.5281/zenodo.22047519,Data management plan (DMP) for ViDiT project,2026-08-21,Other funder,,22DIT01,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/22047519,
10.5281/zenodo.22022150,One Health & Conservation: Safeguarding beneficial insects in protected areas during mosquito control operations,2026-08-20,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/22022150,
10.5281/zenodo.22007458,22NRM03 Data management plan M36,2026-08-19,Other funder,,22NRM03,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/22007458,
10.5281/zenodo.22005735,Desarrollo de TAG-MAG Fase A (Hitos A1 a A5),2026-08-19,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/22005735,
10.5281/zenodo.21992757,Supplementary data for: Linking neutral gas inflows and outflows to offsets in the star-forming main sequence and mass–metallicity relation,2026-08-18,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/21992757,
10.5281/zenodo.22000388,PSICOPEDAGOGIA INSTITUCIONAL E CLÍNICA: AVALIAÇÃO E INTERVENÇÃO EM DIFICULDADES DE APRENDIZAGEM,2026-08-18,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/22000388,
10.5281/zenodo.21991264,D1.3 Data Management Plan v2,2026-08-18,Horizon Europe,HORIZON,101058537,INSPIRE,HORIZON-WIDERA-2021-ERA-01,,late,0.971,2022-10-01,2026-09-30,SIGNED,False,,,,0,0,,True,public,https://zenodo.org/records/21991264,
